"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"2280","consensus_11943",80,".","G","A",33.9,".","AC=6;AF=0.019;AN=308;BaseQRankSum=-13.543;ClippingRankSum=0.000;DP=4216;ExcessHet=0.1501;FS=0.000;InbreedingCoeff=0.1491;MLEAC=3;MLEAF=9.740e-03;MQ=35.28;MQRankSum=-12.733;QD=1.36;ReadPosRankSum=-8.680;SOR=0.000","GT:AD:DP:GQ:PL"
"2281","consensus_11948",31,".","A","G",124120,".","AC=153;AF=0.490;AN=312;BaseQRankSum=1.675;ClippingRankSum=-0.001;DP=6935;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.7876;MLEAC=154;MLEAF=0.494;MQ=41.92;MQRankSum=-4.404;QD=19.65;ReadPosRankSum=1.950;SOR=0.708","GT:AD:DP:GQ:PL"
"2282","consensus_11949",80,".","A","G",67187.1,".","AC=156;AF=0.500;AN=312;BaseQRankSum=-2.015;ClippingRankSum=0.000;DP=5778;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.7017;MLEAC=156;MLEAF=0.500;MQ=32.96;MQRankSum=-68.877;QD=13.14;ReadPosRankSum=-0.156;SOR=0.572","GT:AD:DP:GQ:PL"
"2283","consensus_11955",33,".","G","C",31608,".","AC=201;AF=0.739;AN=272;BaseQRankSum=-5.305;ClippingRankSum=0.000;DP=1450;ExcessHet=0.0852;FS=0.000;InbreedingCoeff=0.1121;MLEAC=201;MLEAF=0.739;MQ=41.37;MQRankSum=-12.058;QD=24.39;ReadPosRankSum=-8.168;SOR=1.339","GT:AD:DP:GQ:PL"
"2284","consensus_11956",32,".","A","T",54535.9,".","AC=164;AF=0.554;AN=296;BaseQRankSum=0.363;ClippingRankSum=0.000;DP=2379;ExcessHet=0.0030;FS=0.000;InbreedingCoeff=0.2416;MLEAC=165;MLEAF=0.557;MQ=41.91;MQRankSum=-5.924;QD=30.52;ReadPosRankSum=1.764;SOR=1.038","GT:AD:DP:GQ:PL"
"2285","consensus_11957",34,".","T","C",60575,".","AC=148;AF=0.493;AN=300;BaseQRankSum=-0.505;ClippingRankSum=0.000;DP=3729;ExcessHet=91.8125;FS=0.000;InbreedingCoeff=-0.5212;MLEAC=147;MLEAF=0.490;MQ=41.94;MQRankSum=-4.377;QD=17.38;ReadPosRankSum=0.460;SOR=0.579","GT:AD:DP:GQ:PL"
"2286","consensus_11960",77,".","A","G",23077.1,".","AC=125;AF=0.521;AN=240;BaseQRankSum=0.127;ClippingRankSum=0.000;DP=1257;ExcessHet=6.6796;FS=0.000;InbreedingCoeff=-0.1616;MLEAC=122;MLEAF=0.508;MQ=41.87;MQRankSum=-4.633;QD=22.15;ReadPosRankSum=0.100;SOR=0.734","GT:AD:DP:GQ:PL"
"2287","consensus_11962",57,".","G","A",46023.2,".","AC=71;AF=0.232;AN=306;BaseQRankSum=-15.337;ClippingRankSum=0.000;DP=5541;ExcessHet=12.5334;FS=0.000;InbreedingCoeff=-0.1498;MLEAC=71;MLEAF=0.232;MQ=41.95;MQRankSum=-5.123;QD=17.17;ReadPosRankSum=-1.662;SOR=0.113","GT:AD:DP:GQ:PL"
"2288","consensus_11968",72,".","T","C",31952.9,".","AC=69;AF=0.218;AN=316;BaseQRankSum=-0.488;ClippingRankSum=-0.003;DP=7801;ExcessHet=32.9477;FS=0.000;InbreedingCoeff=-0.2433;MLEAC=69;MLEAF=0.218;MQ=41.96;MQRankSum=-7.963;QD=8.55;ReadPosRankSum=1.083;SOR=0.026","GT:AD:DP:GQ:PL"
"2289","consensus_11969",59,".","T","C",4073.39,".","AC=54;AF=0.293;AN=184;BaseQRankSum=-1.143;ClippingRankSum=0.000;DP=657;ExcessHet=0.0000;FS=0.000;InbreedingCoeff=0.5342;MLEAC=52;MLEAF=0.283;MQ=31.29;MQRankSum=-24.831;QD=15.79;ReadPosRankSum=0.468;SOR=0.160","GT:AD:DP:GQ:PL"
"2290","consensus_11991",81,".","C","A",507.83,".","AC=24;AF=0.077;AN=310;BaseQRankSum=-33.544;ClippingRankSum=0.000;DP=6559;ExcessHet=5.5243;FS=0.000;InbreedingCoeff=0.1800;MLEAC=19;MLEAF=0.061;MQ=41.94;MQRankSum=0.041;QD=2.25;ReadPosRankSum=-1.380;SOR=0.002","GT:AD:DP:GQ:PL"
"2291","consensus_11994",87,".","G","A",49141.5,".","AC=76;AF=0.245;AN=310;BaseQRankSum=0.338;ClippingRankSum=0.000;DP=5312;ExcessHet=7.6323;FS=0.000;InbreedingCoeff=-0.0858;MLEAC=76;MLEAF=0.245;MQ=41.95;MQRankSum=-2.855;QD=19.63;ReadPosRankSum=0.474;SOR=0.122","GT:AD:DP:GQ:PL"
"2292","consensus_11997",25,".","A","T",49144.3,".","AC=86;AF=0.279;AN=308;BaseQRankSum=4.135;ClippingRankSum=0.000;DP=5609;ExcessHet=21.7883;FS=0.000;InbreedingCoeff=-0.2024;MLEAC=87;MLEAF=0.282;MQ=41.97;MQRankSum=-8.724;QD=17.42;ReadPosRankSum=1.840;SOR=0.108","GT:AD:DP:GQ:PL"
"2293","consensus_12003",45,".","T","A",41686.8,".","AC=78;AF=0.252;AN=310;BaseQRankSum=-4.272;ClippingRankSum=0.000;DP=5256;ExcessHet=22.2714;FS=0.000;InbreedingCoeff=-0.2023;MLEAC=78;MLEAF=0.252;MQ=41.83;MQRankSum=-0.548;QD=16.43;ReadPosRankSum=-0.593;SOR=0.088","GT:AD:DP:GQ:PL"
"2294","consensus_12005",59,".","A","C",81721.8,".","AC=154;AF=0.500;AN=308;BaseQRankSum=1.996;ClippingRankSum=0.000;DP=4554;ExcessHet=150.5275;FS=0.000;InbreedingCoeff=-0.6295;MLEAC=154;MLEAF=0.500;MQ=41.96;MQRankSum=-5.067;QD=20.87;ReadPosRankSum=-0.988;SOR=0.697","GT:AD:DP:GQ:PL"
"2295","consensus_12006",62,".","C","A",35.87,".","AC=3;AF=9.677e-03;AN=310;BaseQRankSum=-1.718;ClippingRankSum=0.000;DP=2163;ExcessHet=0.0211;FS=0.000;InbreedingCoeff=0.1378;MLEAC=1;MLEAF=3.226e-03;MQ=41.97;MQRankSum=0.131;QD=1.09;ReadPosRankSum=0.245;SOR=0.000","GT:AD:DP:GQ:PL"
"2296","consensus_12013",40,".","C","A",45677.9,".","AC=90;AF=0.292;AN=308;BaseQRankSum=-0.715;ClippingRankSum=0.000;DP=4182;ExcessHet=13.9710;FS=0.000;InbreedingCoeff=-0.1603;MLEAC=89;MLEAF=0.289;MQ=41.95;MQRankSum=-4.588;QD=20.56;ReadPosRankSum=1.193;SOR=0.184","GT:AD:DP:GQ:PL"
"2297","consensus_12020",29,".","G","T",108071,".","AC=104;AF=0.331;AN=314;BaseQRankSum=0.238;ClippingRankSum=-0.008;DP=13842;ExcessHet=118.4608;FS=0.000;InbreedingCoeff=-0.4971;MLEAC=104;MLEAF=0.331;MQ=41.92;MQRankSum=-19.124;QD=12.14;ReadPosRankSum=-0.789;SOR=0.097","GT:AD:DP:GQ:PL"
"2298","consensus_12021",54,".","A","G",9602.87,".","AC=75;AF=0.252;AN=298;BaseQRankSum=-1.117;ClippingRankSum=0.000;DP=2465;ExcessHet=1.1770;FS=0.000;InbreedingCoeff=-0.0045;MLEAC=71;MLEAF=0.238;MQ=33.53;MQRankSum=-36.070;QD=10.34;ReadPosRankSum=0.062;SOR=0.047","GT:AD:DP:GQ:PL"
"2299","consensus_12022",15,".","A","T",34.63,".","AC=8;AF=0.026;AN=310;BaseQRankSum=-4.460;ClippingRankSum=0.000;DP=5663;ExcessHet=3.4123;FS=0.000;InbreedingCoeff=-0.0257;MLEAC=2;MLEAF=6.452e-03;MQ=37.82;MQRankSum=-29.683;QD=0.36;ReadPosRankSum=-5.558;SOR=0.000","GT:AD:DP:GQ:PL"
"2300","consensus_12029",15,".","T","A",10107.4,".","AC=66;AF=0.231;AN=286;BaseQRankSum=-1.094;ClippingRankSum=0.000;DP=1355;ExcessHet=0.2578;FS=0.000;InbreedingCoeff=0.0435;MLEAC=67;MLEAF=0.234;MQ=41.92;MQRankSum=0.216;QD=18.38;ReadPosRankSum=1.563;SOR=0.084","GT:AD:DP:GQ:PL"
"2301","consensus_12031",76,".","C","T",100.61,".","AC=13;AF=0.041;AN=314;BaseQRankSum=-40.601;ClippingRankSum=0.000;DP=9041;ExcessHet=4.1493;FS=0.000;InbreedingCoeff=0.0281;MLEAC=7;MLEAF=0.022;MQ=41.94;MQRankSum=-6.397;QD=0.57;ReadPosRankSum=-3.394;SOR=0.002","GT:AD:DP:GQ:PL"
"2302","consensus_12034",78,".","A","C",34956.5,".","AC=84;AF=0.284;AN=296;BaseQRankSum=-1.884;ClippingRankSum=0.000;DP=4084;ExcessHet=6.6999;FS=0.000;InbreedingCoeff=-0.0814;MLEAC=84;MLEAF=0.284;MQ=41.94;MQRankSum=-5.420;QD=17.69;ReadPosRankSum=-0.298;SOR=0.107","GT:AD:DP:GQ:PL"
"2303","consensus_12038",31,".","A","G",1703.02,".","AC=54;AF=0.200;AN=270;BaseQRankSum=-5.330;ClippingRankSum=0.000;DP=2474;ExcessHet=0.0000;FS=0.000;InbreedingCoeff=0.4292;MLEAC=37;MLEAF=0.137;MQ=41.82;MQRankSum=-45.953;QD=9.21;ReadPosRankSum=-9.111;SOR=0.001","GT:AD:DP:GQ:PL"
"2304","consensus_12054",51,".","T","C",156100,".","AC=151;AF=0.478;AN=316;BaseQRankSum=-4.082;ClippingRankSum=-0.001;DP=11566;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9179;MLEAC=151;MLEAF=0.478;MQ=41.92;MQRankSum=-4.776;QD=13.76;ReadPosRankSum=-0.470;SOR=0.399","GT:AD:DP:GQ:PL"
"2305","consensus_12060",25,".","T","A",35389.2,".","AC=78;AF=0.252;AN=310;BaseQRankSum=-2.350;ClippingRankSum=-0.000;DP=6124;ExcessHet=28.8416;FS=0.000;InbreedingCoeff=-0.2410;MLEAC=78;MLEAF=0.252;MQ=34.04;MQRankSum=-68.140;QD=9.45;ReadPosRankSum=0.438;SOR=0.112","GT:AD:DP:GQ:PL"
"2306","consensus_12062",64,".","C","T",61171.6,".","AC=83;AF=0.264;AN=314;BaseQRankSum=-1.444;ClippingRankSum=-0.001;DP=7139;ExcessHet=7.5145;FS=0.000;InbreedingCoeff=-0.0940;MLEAC=83;MLEAF=0.264;MQ=41.96;MQRankSum=-4.166;QD=17.71;ReadPosRankSum=1.459;SOR=0.104","GT:AD:DP:GQ:PL"
"2307","consensus_12066",28,".","A","G",155526,".","AC=154;AF=0.490;AN=314;BaseQRankSum=5.920;ClippingRankSum=-0.005;DP=9489;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9108;MLEAC=154;MLEAF=0.490;MQ=41.91;MQRankSum=-6.847;QD=16.77;ReadPosRankSum=2.453;SOR=0.627","GT:AD:DP:GQ:PL"
"2308","consensus_12067",28,".","C","A",119490,".","AC=144;AF=0.459;AN=314;BaseQRankSum=1.218;ClippingRankSum=-0.008;DP=9740;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.6817;MLEAC=144;MLEAF=0.459;MQ=41.93;MQRankSum=-9.033;QD=13.77;ReadPosRankSum=-0.390;SOR=0.292","GT:AD:DP:GQ:PL"
"2309","consensus_12068",58,".","C","A",51021.3,".","AC=117;AF=0.370;AN=316;BaseQRankSum=-3.763;ClippingRankSum=-0.001;DP=7114;ExcessHet=141.3631;FS=0.000;InbreedingCoeff=-0.5682;MLEAC=118;MLEAF=0.373;MQ=41.96;MQRankSum=-5.388;QD=8.96;ReadPosRankSum=-0.770;SOR=0.094","GT:AD:DP:GQ:PL"
"2310","consensus_12070",36,".","C","T",184008,".","AC=157;AF=0.497;AN=316;BaseQRankSum=0.246;ClippingRankSum=0.001;DP=11382;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9393;MLEAC=157;MLEAF=0.497;MQ=41.95;MQRankSum=-6.217;QD=16.30;ReadPosRankSum=1.193;SOR=0.572","GT:AD:DP:GQ:PL"
"2311","consensus_12073",41,".","T","C",151682,".","AC=154;AF=0.487;AN=316;BaseQRankSum=2.583;ClippingRankSum=-0.005;DP=9598;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9024;MLEAC=154;MLEAF=0.487;MQ=41.92;MQRankSum=-6.863;QD=16.25;ReadPosRankSum=-0.235;SOR=0.555","GT:AD:DP:GQ:PL"
"2312","consensus_12076",59,".","A","G",42132.6,".","AC=82;AF=0.272;AN=302;BaseQRankSum=-0.534;ClippingRankSum=0.000;DP=4827;ExcessHet=23.4762;FS=0.000;InbreedingCoeff=-0.2269;MLEAC=82;MLEAF=0.272;MQ=41.97;MQRankSum=-4.597;QD=17.89;ReadPosRankSum=1.272;SOR=0.108","GT:AD:DP:GQ:PL"
"2313","consensus_12079",67,".","A","T",84231.2,".","AC=152;AF=0.484;AN=314;BaseQRankSum=4.757;ClippingRankSum=-0.001;DP=6673;ExcessHet=65.9037;FS=0.000;InbreedingCoeff=-0.4071;MLEAC=152;MLEAF=0.484;MQ=32.73;MQRankSum=-78.147;QD=14.96;ReadPosRankSum=-0.182;SOR=0.683","GT:AD:DP:GQ:PL"
"2314","consensus_12080",66,".","G","A",52442.9,".","AC=84;AF=0.268;AN=314;BaseQRankSum=-2.681;ClippingRankSum=-0.000;DP=5829;ExcessHet=17.7076;FS=0.000;InbreedingCoeff=-0.1766;MLEAC=84;MLEAF=0.268;MQ=39.24;MQRankSum=63.149;QD=17.39;ReadPosRankSum=-0.236;SOR=0.124","GT:AD:DP:GQ:PL"
"2315","consensus_12086",82,".","G","A",51815.1,".","AC=82;AF=0.263;AN=312;BaseQRankSum=0.090;ClippingRankSum=-0.000;DP=5857;ExcessHet=20.8790;FS=0.000;InbreedingCoeff=-0.1984;MLEAC=81;MLEAF=0.260;MQ=41.93;MQRankSum=-5.922;QD=17.76;ReadPosRankSum=-1.592;SOR=0.114","GT:AD:DP:GQ:PL"
"2316","consensus_12092",67,".","G","C",46277.3,".","AC=85;AF=0.272;AN=312;BaseQRankSum=-3.275;ClippingRankSum=0.000;DP=5147;ExcessHet=38.4471;FS=0.000;InbreedingCoeff=-0.2825;MLEAC=85;MLEAF=0.272;MQ=41.94;MQRankSum=-8.101;QD=16.89;ReadPosRankSum=-1.081;SOR=0.145","GT:AD:DP:GQ:PL"
"2317","consensus_12097",54,".","A","T",98.13,".","AC=5;AF=0.025;AN=204;BaseQRankSum=-0.988;ClippingRankSum=0.000;DP=289;ExcessHet=3.2280;FS=0.000;InbreedingCoeff=-0.1053;MLEAC=6;MLEAF=0.029;MQ=42.00;MQRankSum=0.000;QD=24.53;ReadPosRankSum=-0.106;SOR=0.001","GT:AD:DP:GQ:PL"
"2318","consensus_12111",20,".","G","T",36650.6,".","AC=79;AF=0.265;AN=298;BaseQRankSum=1.069;ClippingRankSum=0.000;DP=3448;ExcessHet=7.8597;FS=0.000;InbreedingCoeff=-0.1044;MLEAC=80;MLEAF=0.268;MQ=41.85;MQRankSum=-13.719;QD=20.54;ReadPosRankSum=-0.096;SOR=0.137","GT:AD:DP:GQ:PL"
"2319","consensus_12115",25,".","T","C",71943,".","AC=106;AF=0.340;AN=312;BaseQRankSum=-4.590;ClippingRankSum=-0.002;DP=8882;ExcessHet=108.2350;FS=0.000;InbreedingCoeff=-0.4895;MLEAC=106;MLEAF=0.340;MQ=41.93;MQRankSum=-5.396;QD=9.76;ReadPosRankSum=0.163;SOR=0.123","GT:AD:DP:GQ:PL"
"2320","consensus_12122",34,".","T","C",54929.2,".","AC=75;AF=0.240;AN=312;BaseQRankSum=1.753;ClippingRankSum=-0.000;DP=6199;ExcessHet=24.7794;FS=0.000;InbreedingCoeff=-0.2149;MLEAC=75;MLEAF=0.240;MQ=41.95;MQRankSum=-5.572;QD=17.97;ReadPosRankSum=-0.984;SOR=0.112","GT:AD:DP:GQ:PL"
"2321","consensus_12124",81,".","T","A",46701.1,".","AC=76;AF=0.244;AN=312;BaseQRankSum=-2.305;ClippingRankSum=-0.002;DP=10220;ExcessHet=33.6709;FS=0.000;InbreedingCoeff=-0.2610;MLEAC=76;MLEAF=0.244;MQ=41.90;MQRankSum=-16.157;QD=9.01;ReadPosRankSum=-1.439;SOR=0.033","GT:AD:DP:GQ:PL"
"2322","consensus_12126",56,".","C","T",59283,".","AC=70;AF=0.227;AN=308;BaseQRankSum=2.697;ClippingRankSum=-0.001;DP=7127;ExcessHet=19.8119;FS=0.000;InbreedingCoeff=-0.1843;MLEAC=70;MLEAF=0.227;MQ=41.97;MQRankSum=-4.809;QD=18.78;ReadPosRankSum=-0.288;SOR=0.092","GT:AD:DP:GQ:PL"
"2323","consensus_12137",18,".","G","A",28440.7,".","AC=81;AF=0.261;AN=310;BaseQRankSum=3.173;ClippingRankSum=0.000;DP=5160;ExcessHet=11.2898;FS=0.000;InbreedingCoeff=-0.1316;MLEAC=80;MLEAF=0.258;MQ=33.19;MQRankSum=-60.881;QD=11.21;ReadPosRankSum=0.606;SOR=0.095","GT:AD:DP:GQ:PL"
"2324","consensus_12152",44,".","G","C",137123,".","AC=152;AF=0.481;AN=316;BaseQRankSum=5.445;ClippingRankSum=-0.002;DP=7929;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9234;MLEAC=152;MLEAF=0.481;MQ=41.90;MQRankSum=-12.824;QD=17.73;ReadPosRankSum=0.463;SOR=0.682","GT:AD:DP:GQ:PL"
"2325","consensus_12158",54,".","C","T",22268.1,".","AC=81;AF=0.261;AN=310;BaseQRankSum=3.271;ClippingRankSum=0.000;DP=4806;ExcessHet=20.8790;FS=0.000;InbreedingCoeff=-0.1894;MLEAC=80;MLEAF=0.258;MQ=30.84;MQRankSum=-61.938;QD=9.54;ReadPosRankSum=2.438;SOR=0.100","GT:AD:DP:GQ:PL"
"2326","consensus_12161",75,".","C","T",457.65,".","AC=21;AF=0.083;AN=254;BaseQRankSum=2.496;ClippingRankSum=0.000;DP=466;ExcessHet=2.1771;FS=0.000;InbreedingCoeff=-0.1072;MLEAC=23;MLEAF=0.091;MQ=42.00;MQRankSum=0.000;QD=19.07;ReadPosRankSum=-0.477;SOR=0.003","GT:AD:DP:GQ:PL"
"2327","consensus_12167",73,".","T","A",73251.9,".","AC=155;AF=0.510;AN=304;BaseQRankSum=-4.274;ClippingRankSum=0.000;DP=3927;ExcessHet=0.0042;FS=0.000;InbreedingCoeff=0.2407;MLEAC=155;MLEAF=0.510;MQ=41.95;MQRankSum=-3.390;QD=26.87;ReadPosRankSum=0.649;SOR=0.676","GT:AD:DP:GQ:PL"
"2328","consensus_12195",61,".","A","T",71463.3,".","AC=88;AF=0.280;AN=314;BaseQRankSum=2.431;ClippingRankSum=-0.001;DP=6866;ExcessHet=17.3728;FS=0.000;InbreedingCoeff=-0.1700;MLEAC=87;MLEAF=0.277;MQ=38.96;MQRankSum=46.794;QD=20.27;ReadPosRankSum=-0.123;SOR=0.172","GT:AD:DP:GQ:PL"
"2329","consensus_12203",76,".","G","A",40764.8,".","AC=94;AF=0.299;AN=314;BaseQRankSum=-6.838;ClippingRankSum=-0.002;DP=7807;ExcessHet=38.1313;FS=0.000;InbreedingCoeff=-0.2901;MLEAC=93;MLEAF=0.296;MQ=33.73;MQRankSum=-78.000;QD=9.49;ReadPosRankSum=2.715;SOR=0.126","GT:AD:DP:GQ:PL"
"2330","consensus_12207",32,".","T","A",24746.1,".","AC=60;AF=0.195;AN=308;BaseQRankSum=1.708;ClippingRankSum=-0.001;DP=7447;ExcessHet=34.2464;FS=0.000;InbreedingCoeff=-0.2469;MLEAC=60;MLEAF=0.195;MQ=41.93;MQRankSum=-1.762;QD=8.00;ReadPosRankSum=0.305;SOR=0.017","GT:AD:DP:GQ:PL"
"2331","consensus_12216",21,".","G","T",47029.8,".","AC=79;AF=0.255;AN=310;BaseQRankSum=-1.110;ClippingRankSum=0.000;DP=5520;ExcessHet=17.9108;FS=0.000;InbreedingCoeff=-0.1765;MLEAC=79;MLEAF=0.255;MQ=41.93;MQRankSum=-5.774;QD=17.21;ReadPosRankSum=0.552;SOR=0.106","GT:AD:DP:GQ:PL"
"2332","consensus_12217",52,".","G","A",161320,".","AC=156;AF=0.494;AN=316;BaseQRankSum=7.802;ClippingRankSum=-0.011;DP=10003;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9262;MLEAC=156;MLEAF=0.494;MQ=41.89;MQRankSum=-6.793;QD=16.38;ReadPosRankSum=-0.088;SOR=0.595","GT:AD:DP:GQ:PL"
"2333","consensus_12218",35,".","G","A",78152.1,".","AC=177;AF=0.564;AN=314;BaseQRankSum=-5.867;ClippingRankSum=-0.004;DP=6013;ExcessHet=1.1718;FS=0.000;InbreedingCoeff=0.0386;MLEAC=176;MLEAF=0.561;MQ=28.59;MQRankSum=-71.231;QD=15.57;ReadPosRankSum=-0.851;SOR=0.976","GT:AD:DP:GQ:PL"
"2334","consensus_12229",36,".","T","C",65286,".","AC=159;AF=0.526;AN=302;BaseQRankSum=0.063;ClippingRankSum=0.000;DP=5165;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.7211;MLEAC=158;MLEAF=0.523;MQ=31.29;MQRankSum=-64.382;QD=13.82;ReadPosRankSum=1.442;SOR=0.733","GT:AD:DP:GQ:PL"
"2335","consensus_12248",51,".","A","G",57511.2,".","AC=156;AF=0.500;AN=312;BaseQRankSum=4.214;ClippingRankSum=0.000;DP=5440;ExcessHet=0.0214;FS=0.000;InbreedingCoeff=0.1935;MLEAC=157;MLEAF=0.503;MQ=28.20;MQRankSum=-69.427;QD=14.56;ReadPosRankSum=0.952;SOR=0.600","GT:AD:DP:GQ:PL"
"2336","consensus_12258",82,".","C","T",99802.1,".","AC=155;AF=0.491;AN=316;BaseQRankSum=2.691;ClippingRankSum=-0.015;DP=64297;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9399;MLEAC=155;MLEAF=0.491;MQ=39.11;MQRankSum=-109.144;QD=5.74;ReadPosRankSum=-17.532;SOR=0.733","GT:AD:DP:GQ:PL"
"2337","consensus_12259",85,".","C","A",1222.84,".","AC=47;AF=0.181;AN=260;BaseQRankSum=-0.291;ClippingRankSum=0.000;DP=407;ExcessHet=0.0000;FS=0.000;InbreedingCoeff=0.1397;MLEAC=44;MLEAF=0.169;MQ=33.60;MQRankSum=-14.812;QD=18.25;ReadPosRankSum=0.490;SOR=0.037","GT:AD:DP:GQ:PL"
"2338","consensus_12261",71,".","C","G",105387,".","AC=117;AF=0.370;AN=316;BaseQRankSum=-4.505;ClippingRankSum=-0.007;DP=13946;ExcessHet=160.5426;FS=0.000;InbreedingCoeff=-0.5883;MLEAC=117;MLEAF=0.370;MQ=41.97;MQRankSum=-7.715;QD=9.71;ReadPosRankSum=1.364;SOR=0.102","GT:AD:DP:GQ:PL"
"2339","consensus_12267",36,".","C","A",111193,".","AC=155;AF=0.494;AN=314;BaseQRankSum=5.309;ClippingRankSum=-0.001;DP=6038;ExcessHet=0.5103;FS=0.000;InbreedingCoeff=0.0787;MLEAC=155;MLEAF=0.494;MQ=41.86;MQRankSum=-11.026;QD=24.10;ReadPosRankSum=0.643;SOR=0.661","GT:AD:DP:GQ:PL"
"2340","consensus_12272",52,".","A","C",47874.9,".","AC=83;AF=0.271;AN=306;BaseQRankSum=5.406;ClippingRankSum=0.000;DP=4875;ExcessHet=10.5555;FS=0.000;InbreedingCoeff=-0.1381;MLEAC=83;MLEAF=0.271;MQ=41.97;MQRankSum=-5.353;QD=17.91;ReadPosRankSum=0.393;SOR=0.146","GT:AD:DP:GQ:PL"
"2341","consensus_12279",36,".","G","T",60451.5,".","AC=76;AF=0.242;AN=314;BaseQRankSum=-4.666;ClippingRankSum=-0.001;DP=7117;ExcessHet=55.8103;FS=0.000;InbreedingCoeff=-0.3189;MLEAC=76;MLEAF=0.242;MQ=41.90;MQRankSum=-18.127;QD=17.41;ReadPosRankSum=-0.169;SOR=0.108","GT:AD:DP:GQ:PL"
"2342","consensus_12282",84,".","T","A",47064.1,".","AC=72;AF=0.235;AN=306;BaseQRankSum=-2.236;ClippingRankSum=0.000;DP=5771;ExcessHet=11.9152;FS=0.000;InbreedingCoeff=-0.1411;MLEAC=71;MLEAF=0.232;MQ=41.86;MQRankSum=0.767;QD=17.38;ReadPosRankSum=-2.057;SOR=0.092","GT:AD:DP:GQ:PL"
"2343","consensus_12283",18,".","C","T",248291,".","AC=158;AF=0.503;AN=314;BaseQRankSum=5.546;ClippingRankSum=-0.014;DP=13064;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.9623;MLEAC=158;MLEAF=0.503;MQ=41.82;MQRankSum=-20.407;QD=19.09;ReadPosRankSum=0.607;SOR=0.665","GT:AD:DP:GQ:PL"
"2344","consensus_12299",68,".","A","T",346.82,".","AC=14;AF=0.046;AN=302;BaseQRankSum=-9.637;ClippingRankSum=0.000;DP=4627;ExcessHet=4.3807;FS=0.000;InbreedingCoeff=-0.0511;MLEAC=12;MLEAF=0.040;MQ=37.39;MQRankSum=-11.885;QD=2.02;ReadPosRankSum=-6.314;SOR=0.000","GT:AD:DP:GQ:PL"
"2345","consensus_12303",85,".","A","T",38942.1,".","AC=74;AF=0.239;AN=310;BaseQRankSum=5.926;ClippingRankSum=0.000;DP=5390;ExcessHet=31.3525;FS=0.000;InbreedingCoeff=-0.2554;MLEAC=73;MLEAF=0.235;MQ=41.97;MQRankSum=-3.881;QD=16.64;ReadPosRankSum=0.627;SOR=0.069","GT:AD:DP:GQ:PL"
"2346","consensus_12308",51,".","G","A",122803,".","AC=157;AF=0.497;AN=316;BaseQRankSum=0.213;ClippingRankSum=-0.009;DP=8194;ExcessHet=160.0000;FS=0.000;InbreedingCoeff=-0.8969;MLEAC=157;MLEAF=0.497;MQ=41.93;MQRankSum=-6.254;QD=15.29;ReadPosRankSum=1.909;SOR=0.509","GT:AD:DP:GQ:PL"
"2347","consensus_12309",40,".","A","G",41515.4,".","AC=137;AF=0.479;AN=286;BaseQRankSum=-2.770;ClippingRankSum=0.000;DP=2166;ExcessHet=-0.0000;FS=0.000;InbreedingCoeff=0.8983;MLEAC=135;MLEAF=0.472;MQ=41.91;MQRankSum=1.258;QD=34.31;ReadPosRankSum=-0.346;SOR=0.674","GT:AD:DP:GQ:PL"
"2348","consensus_12317",79,".","T","G",539.68,".","AC=4;AF=0.017;AN=238;BaseQRankSum=-2.164;ClippingRankSum=0.000;DP=2441;ExcessHet=0.0001;FS=0.000;InbreedingCoeff=0.5765;MLEAC=3;MLEAF=0.013;MQ=41.96;MQRankSum=-2.769;QD=30.96;ReadPosRankSum=-0.303;SOR=0.000","GT:AD:DP:GQ:PL"
"2349","consensus_12322",64,".","A","G",141.96,".","AC=19;AF=0.064;AN=298;BaseQRankSum=-10.897;ClippingRankSum=0.000;DP=2084;ExcessHet=0.0301;FS=0.000;InbreedingCoeff=0.1394;MLEAC=12;MLEAF=0.040;MQ=36.75;MQRankSum=-18.580;QD=4.73;ReadPosRankSum=-0.559;SOR=0.001","GT:AD:DP:GQ:PL"
"2350","consensus_12323",46,".","A","C",44967.9,".","AC=77;AF=0.252;AN=306;BaseQRankSum=-1.435;ClippingRankSum=0.000;DP=5383;ExcessHet=28.2650;FS=0.000;InbreedingCoeff=-0.2249;MLEAC=77;MLEAF=0.252;MQ=41.92;MQRankSum=-5.732;QD=17.32;ReadPosRankSum=-2.335;SOR=0.098","GT:AD:DP:GQ:PL"
